,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,856,126000,30,RL,,7890,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,856.0,Unf,856.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1,0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939,Unf,2,399.0,TA,TA,Y,0,0,0,0,166,0,No,No,No,0,3,2010,WD ,Normal
2,1049,139500,120,RL,42.0,4235,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,1049.0,ALQ,1049.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1,0,2,0,2,1,Gd,5,Typ,0,0,Attchd,1984,Fin,1,266.0,TA,TA,Y,0,105,0,0,0,0,No,No,No,0,2,2009,WD ,Normal
3,1001,124900,30,C (all),60.0,6060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,837.0,Unf,837.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0,0,1,0,2,1,Gd,5,Typ,0,0,Detchd,1930,Unf,1,216.0,TA,Po,N,154,0,42,86,0,0,No,No,No,0,11,2007,WD ,Normal
4,1039,114000,70,RL,80.0,8146,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,405.0,Unf,405.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0,0,1,0,2,1,TA,6,Typ,0,0,Detchd,1940,Unf,1,281.0,TA,TA,N,0,0,168,0,111,0,No,No,No,0,5,2009,WD ,Normal
5,1665,227000,60,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,810.0,Unf,810.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1,0,2,1,3,1,Gd,6,Typ,0,0,Attchd,2001,Fin,2,528.0,TA,TA,Y,0,45,0,0,0,0,No,No,No,0,11,2009,WD ,Normal
6,1922,198500,85,RL,64.0,7301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,0,0,No,0,0.0,0,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003,RFn,2,672.0,TA,TA,Y,0,0,177,0,0,0,No,No,No,0,7,2009,ConLD,Normal
7,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,936.0,Unf,936.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0,0,1,0,2,1,TA,4,Min2,0,0,Detchd,1974,Unf,2,576.0,TA,TA,Y,0,32,112,0,0,0,No,No,No,0,2,2009,WD ,Normal
8,1246,187687,20,RL,53.0,3710,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,1146.0,Unf,1146.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007,Fin,2,428.0,TA,TA,Y,100,24,0,0,0,0,No,No,No,0,3,2008,New,Partial
9,889,137500,20,RL,74.0,12395,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,864.0,Unf,864.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0,0,1,0,3,1,TA,6,Typ,0,0,Attchd,1984,Unf,2,484.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,4,2008,WD ,Normal
10,1072,140000,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,547.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1,0,1,0,2,1,Gd,5,Typ,0,0,Basment,2005,Fin,2,525.0,TA,TA,Y,0,44,0,0,0,0,No,No,No,0,5,2007,WD ,Normal
11,1342,219500,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,1342.0,Unf,1342.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007,RFn,2,550.0,TA,TA,Y,0,35,0,0,0,0,No,No,No,0,2,2008,WD ,Normal
