GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleType,BsmtNumBath,TotalNumBath
856,126000,30,RL,64.0,7890,Pave,4,Lvl,4,Corner,3,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,238.0,1,618.0,856.0,GasA,3,Y,5,856,0,2,1,3,4,8,1,4,Detchd,1939.0,1,2.0,399.0,3,3,3,0,0,0,3,2010,WD ,1.0,1.0
1049,139500,120,RL,42.0,4235,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,2,6,552.0,5,104.0,1049.0,GasA,3,Y,5,1049,0,2,1,4,5,8,0,0,Attchd,1984.0,3,1.0,266.0,3,3,3,0,105,0,2,2009,WD ,1.0,2.0
1001,124900,30,C (all),60.0,6060,Pave,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,3,3,1,5,737.0,1,100.0,837.0,GasA,5,Y,5,1001,0,2,1,4,5,8,0,0,Detchd,1930.0,1,1.0,216.0,3,1,1,154,0,0,11,2007,WD ,0.0,1.0
1039,114000,70,RL,80.0,8146,Pave,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2,3,1,1,0.0,1,405.0,405.0,GasA,4,Y,5,717,322,2,1,3,6,8,0,0,Detchd,1940.0,1,1.0,281.0,3,3,1,0,0,0,5,2009,WD ,0.0,1.0
1665,227000,60,RL,70.0,8400,Pave,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,643.0,1,167.0,810.0,GasA,5,Y,5,810,855,3,1,4,6,8,0,0,Attchd,2001.0,3,2.0,528.0,3,3,3,0,45,0,11,2009,WD ,1.0,2.5
1922,198500,85,RL,64.0,7301,Pave,4,Lvl,4,Corner,3,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0,0,0,0,0.0,0,0.0,0.0,GasA,5,Y,5,495,1427,4,1,4,7,8,1,5,BuiltIn,2003.0,2,2.0,672.0,3,3,3,0,0,0,7,2009,ConLD,0.0,3.0
936,93000,20,RM,60.0,6000,Pave,4,Bnk,4,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,2,3,1,1,0.0,1,936.0,936.0,GasA,3,N,5,936,0,2,1,3,4,6,0,0,Detchd,1974.0,1,2.0,576.0,3,3,3,0,32,0,2,2009,WD ,0.0,1.0
889,137500,20,RL,74.0,12395,Pave,4,Lvl,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,647.0,1,217.0,864.0,GasA,3,Y,5,889,0,3,1,3,6,8,0,0,Attchd,1984.0,1,2.0,484.0,3,3,3,0,0,0,4,2008,WD ,0.0,1.0
1072,140000,180,RM,35.0,3675,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4,3,4,6,467.0,1,80.0,547.0,GasA,5,Y,5,1072,0,2,1,4,5,8,0,0,Basment,2005.0,3,2.0,525.0,3,3,3,0,44,0,5,2007,WD ,1.0,1.0
1342,219500,120,RL,48.0,6240,Pave,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4,3,1,6,24.0,1,1318.0,1342.0,GasA,5,Y,5,1342,0,2,1,4,6,8,1,4,Attchd,2007.0,2,2.0,550.0,3,3,3,0,35,0,2,2008,WD ,0.0,2.0
